,Driver_ID,Distance_Feature,Speeding_Feature
0,3423311935,71.24,28.0
1,3423313212,52.53,25.0
2,3423313724,64.54,27.0
3,3423311373,55.69,22.0
4,3423310999,54.58,25.0
5,3423313857,41.91,10.0
6,3423312432,58.64,20.0
7,3423311434,52.02,8.0
8,3423311328,31.25,34.0
9,3423312488,44.31,19.0
10,3423311254,49.35,40.0
11,3423312943,58.07,45.0
12,3423312536,44.22,22.0
13,3423311542,55.73,19.0
14,3423312176,46.63,43.0
15,3423314176,52.97,32.0
16,3423314202,46.25,35.0
17,3423311346,51.55,27.0
18,3423310666,57.05,26.0
19,3423313527,58.45,30.0
20,3423312182,43.42,23.0
21,3423313590,55.68,37.0
22,3423312268,55.15,18.0
23,3423314255,43.84,22.0
24,3423311976,59.26,32.0
25,3423312669,37.14,41.0
26,3423310697,64.3,29.0
27,3423312113,45.75,16.0
28,3423313343,45.97,23.0
29,3423311431,56.04,39.0
30,3423310755,33.64,45.0
31,3423311821,41.67,33.0
32,3423314359,50.68,39.0
33,3423313106,54.22,35.0
34,3423310754,56.2,29.0
35,3423310524,46.16,41.0
36,3423311780,50.22,24.0
37,3423312156,49.66,33.0
38,3423312916,38.61,37.0
39,3423310588,55.28,36.0
40,3423312995,57.87,41.0
41,3423313389,61.69,12.0
42,3423311369,37.41,21.0
43,3423311408,53.83,32.0
44,3423311598,62.98,22.0
45,3423312047,46.97,13.0
46,3423312322,58.03,24.0
47,3423313247,59.87,36.0
48,3423310944,81.34,31.0
49,3423312404,48.56,26.0
50,3423313738,17.66,23.0
51,3423311461,46.01,21.0
52,3423313866,45.34,26.0
53,3423312074,39.64,31.0
54,3423312444,51.22,36.0
55,3423311834,36.21,31.0
56,3423311527,47.32,55.0
57,3423310476,54.87,27.0
58,3423310548,58.97,6.0
59,3423311011,57.3,42.0
60,3423310633,59.94,32.0
61,3423310595,61.72,25.0
62,3423312757,53.19,23.0
63,3423313776,35.13,38.0
64,3423312067,48.47,20.0
65,3423312235,51.17,43.0
66,3423310893,42.14,39.0
67,3423314121,54.31,35.0
68,3423313750,48.93,32.0
69,3423312776,53.51,44.0
70,3423312927,51.72,24.0
71,3423310765,49.86,10.0
72,3423311457,49.2,41.0
73,3423310678,60.2,39.0
74,3423312564,54.06,20.0
75,3423313058,72.91,30.0
76,3423310803,61.92,40.0
77,3423312166,44.2,24.0
78,3423312608,60.75,39.0
79,3423310646,68.36,37.0
80,3423314440,56.39,20.0
81,3423312301,38.19,15.0
82,3423311400,66.19,27.0
83,3423313288,58.2,17.0
84,3423314357,47.55,22.0
85,3423311015,37.62,16.0
86,3423312270,17.81,26.0
87,3423313457,31.25,29.0
88,3423311768,61.0,41.0
89,3423314289,40.98,33.0
90,3423310618,53.69,24.0
91,3423311628,51.46,9.0
92,3423313173,64.57,29.0
93,3423310552,53.79,23.0
94,3423314153,64.28,34.0
95,3423313814,38.41,24.0
96,3423312466,58.89,42.0
97,3423314103,44.17,33.0
98,3423311257,50.41,43.0
99,3423311814,63.63,28.0
100,3423311017,45.78,24.0
101,3423311127,55.61,20.0
102,3423311066,67.23,5.0
103,3423313316,49.69,38.0
104,3423313648,54.6,30.0
105,3423313558,40.94,59.0
106,3423313353,43.84,36.0
107,3423312285,56.36,19.0
108,3423310853,69.53,23.0
109,3423313991,51.48,19.0
110,3423312791,52.93,41.0
111,3423311030,55.52,8.0
112,3423310575,52.14,23.0
113,3423311959,62.86,21.0
114,3423314029,37.53,33.0
115,3423313843,63.47,25.0
116,3423310628,62.11,33.0
117,3423311869,43.52,25.0
118,3423312133,47.97,27.0
119,3423314085,42.27,37.0
120,3423310504,56.05,30.0
121,3423311462,62.08,37.0
122,3423310974,35.25,53.0
123,3423311980,39.81,25.0
124,3423312931,60.27,33.0
125,3423313867,53.41,22.0
126,3423313838,56.28,27.0
127,3423312956,53.31,25.0
128,3423312985,55.24,30.0
129,3423311863,44.97,29.0
130,3423313131,40.3,43.0
131,3423313166,47.18,42.0
132,3423313841,46.4,34.0
133,3423312477,35.11,15.0
134,3423313132,54.33,38.0
135,3423311934,54.59,64.0
136,3423311470,61.67,50.0
137,3423314234,52.39,19.0
138,3423313633,52.37,6.0
139,3423312165,40.84,25.0
140,3423314381,27.42,27.0
141,3423312732,44.79,31.0
142,3423312525,59.84,37.0
143,3423313793,36.0,45.0
144,3423313029,47.64,10.0
145,3423313920,51.85,37.0
146,3423311655,59.73,15.0
147,3423311576,42.96,37.0
148,3423313408,51.84,27.0
149,3423313342,59.62,23.0
150,3423312729,58.82,30.0
151,3423311987,50.93,30.0
152,3423313012,41.35,23.0
153,3423310573,24.58,45.0
154,3423311451,57.74,22.0
155,3423313032,38.14,33.0
156,3423312160,51.82,20.0
157,3423312397,41.37,17.0
158,3423311095,55.01,24.0
159,3423312803,64.56,53.0
160,3423311951,46.09,35.0
161,3423313818,57.81,20.0
162,3423311313,46.31,23.0
163,3423311389,66.62,37.0
164,3423312703,42.89,17.0
165,3423314199,40.82,23.0
166,3423312834,50.55,41.0
167,3423312795,40.43,40.0
168,3423312077,53.36,25.0
169,3423314379,44.83,27.0
170,3423310461,35.87,35.0
171,3423312709,46.95,23.0
172,3423312808,47.75,20.0
173,3423311713,57.12,26.0
174,3423312819,38.03,43.0
175,3423314401,54.31,45.0
176,3423311992,50.29,39.0
177,3423311164,33.6,24.0
178,3423311785,45.13,44.0
179,3423310769,31.68,31.0
180,3423310596,72.36,4.0
181,3423310503,48.43,55.0
182,3423311126,44.48,36.0
183,3423313487,56.54,20.0
184,3423314331,54.11,50.0
185,3423313472,49.51,29.0
186,3423312200,50.66,36.0
187,3423313015,61.82,23.0
188,3423312340,50.45,15.0
189,3423313441,67.7,43.0
190,3423312358,41.61,12.0
191,3423313702,39.63,31.0
192,3423311137,36.08,31.0
193,3423313567,45.18,27.0
194,3423313538,49.33,28.0
195,3423312814,48.66,45.0
196,3423310890,53.81,25.0
197,3423312595,35.57,44.0
198,3423311887,48.83,39.0
199,3423314123,69.14,40.0
200,3423312427,60.75,59.0
201,3423310735,52.01,39.0
202,3423312257,47.88,45.0
203,3423314416,40.3,30.0
204,3423311310,48.52,30.0
205,3423311848,55.06,37.0
206,3423311622,48.45,28.0
207,3423311051,58.65,40.0
208,3423313971,69.29,21.0
209,3423314179,51.7,21.0
210,3423312887,69.95,18.0
211,3423312583,53.04,37.0
212,3423312990,47.97,27.0
213,3423311820,64.01,26.0
214,3423314018,61.76,23.0
215,3423313775,49.98,28.0
216,3423310869,81.96,27.0
217,3423313262,56.56,25.0
218,3423311532,51.69,30.0
219,3423313252,54.83,40.0
220,3423311201,54.97,39.0
221,3423313632,44.07,27.0
222,3423311574,45.95,40.0
223,3423311102,42.24,22.0
224,3423310805,43.52,49.0
225,3423313805,51.33,31.0
226,3423311177,56.68,55.0
227,3423313477,51.06,24.0
228,3423310780,41.95,28.0
229,3423313713,53.56,27.0
230,3423313597,47.86,45.0
231,3423314406,43.74,34.0
