user_name;stars;country;date;title;text;helpful
Jeanne Mathias;1;France;1 July 2022;Désolé impossible de régler l’appareil;"Quand ont acheté un produit chez Amazon, la moindre de chose c’est avoir le mode d’emploi en FRANÇAIS !!!
Ont arrive pas à régler notre appareil c’est désolant";4
Miriam;1;Spain;14 March 2023;Es lo peor;Desde que lo tiene mi padre le va fatal. Casi no tiene cobertura se oye muy mal. Para manejar el teclado el botón del ok es muy sensible y tocas varias opciones a la vez. No lo recomiendo para nada. De hecho se va a tener que comprar otro de mejor calidad.;0
Nuages;1;Italy;7 June 2022;Inutilizzabile;Non riceve alcun segnale sebbene la SIM sia inserita. Dà solo la possibilità di fare chiamate d'emergenza.;1
josep;1;Spain;12 January 2023;De juguete;Es muy endeble, el sonido es deficiente. No es nada intuitivo. Yo lo he devuelto;0
Leclerc Nicolas;1;France;15 January 2023;Ne fonctionne pas;Impossible avec une SIM free de se connecter au réseau et aucune configuration possible. Téléphone inutilisable;2
Michael;5;Germany;19 June 2019;Rundum zufrieden;"Echtes Dual Sim, es können 2 Nano- Simkarten und eine Speicherkarte eingesetzt werden.

Die Kamera macht gute Fotos, sogar bei wenig Licht.
Eine Benachrichtigungsled ist vorhanden und FM Radio ist auch eingebaut.

Das Notch-Display ist brillant und groß, der Rahmen schmal und unauffällig und das Gewicht geringer, als bei anderen Smartphones der selben Größe.

Bluetooth funktioniert einwandfrei, meine Kopfhörer werden, einmal gekoppelt, dann immer sofort erkannt.

Das Handy hat weder einen Fingerabdrucksensor noch eine Gesichtserkennung. Brauche ich auch nicht, ich benutze lieber einen Entsperrcode, da alles andere fehleranfällig ist.

Praktischerweise kann man Taschenlampe und Rechner, auch ohne das Gerät zu entsperren, nutzen.

Man kann die Farbtemperatur einstellen und es gibt einen Nachtmodus, der den fürs Auge bei wenig Licht schädlichen Blauanteil der Display-Hintergrundbeleuchtung rausfiltert.

Die automatische Helligkeitsanpassung funktioniert verzögerungsfrei. Eine Displayschutzfolie ist schon angebracht.

Für Normalnutzer, wie mich einfach perfekt. Surfen, Musik hören, einfache Spiele wie Doppelkopf spielen, fotografieren und sogar telefonieren ;-) kann man mit diesem Gerät hervorragend.

Nachteil ist, wie inzwischen leider üblich, ein fest verbauter Akku.

Ich habe nur eine Simkarte eingesetzt und so hält der Akku locker 2 Tage durch.
Ladezeit von 20% auf 90% beträgt ca 105 Minuten. Flache Ladezyklen von 30-70% sind optimal, 20-80% noch ok, um den Akku zu schonen. Wenn der Akku schon fest verbaut ist, will ich wenigstens, dass er lange hält!

Bevor ich dieses Handy gekauft habe, hatte ich es mal mit einem der sogenannten ""China- Handys"" (79, 90€/Cubot) versucht, aber die sind echt schrott! Dann lieber etwas mehr ausgeben.
Ich kann dieses Smartphone jedenfalls nur empfehlen.";44
fabian88;1;Germany;18 January 2020;Unbedingt lesen ich kann vom Kauf nur abraten!;"Der Preis ist super

Aber!

Aber selbst für diesen unterbietet das Gerät die gestellten Erwartungen.
Die Kamera ist wirklich wirklich schlecht!
Sie hat sogar Probleme überhaupt Bilder aufzunehmen. Oft waren die Bilder spätere in der Galerie defekt und ließen sich nicht öffnen.
Zu dem kommt das sich das Handy aufhängt wenn man mehrfach hintereinander ein Bild aufnehmen möchte!

Die Produktbeschreibung ist meiner Meinung nach einfach total unrealistisch um Vergleich dazu was das Handy tatsächlich bietet.";23
Cristian;1;Spain;16 October 2019;No tiene brújula;"Huawei Y5 2019: es un teléfono normal y para la relación calidad / precio, no está mal porque cumple con las funciones y características básicas del usuario promedio. En mi caso, me molesta que no tenga brújula. Ya me ha pasado con otros móviles: si abres el maps de google y buscas una dirección para ir caminando, un móvil sin brújula no te sirve, porque no te mostrará la flecha de dirección a la que ir. Para mí esto es crítico, es decir, lo utilizo bastante, por lo que este móvil no me servirá.
Obviando lo anterior, el móvil está perfecto, pero sin la brújula a mí no me sirve... el problema es que en la descripción no lo pone claramente, entonces uno da por sentado que la trae.";18
Laura;1;Italy;24 February 2020;Brandizzato;Ottimo rapporto qualità prezzo. Arrivato però brandizzato Tim con all'interno tutte le applicazioni del brand. E il vetro temperato già sul display (usato?). Per questo non do più di una stella, nella descrizione non è specificato.;17
Sebastian;4;Germany;20 July 2019;HUAWEI Y5 2019 Dual SIM Smartphone;Gutes Handy für wenig Geld. jedoch ist die beschreibung fehlerhaft. Der Interne Speicher ist nicht erweiterbar um 512 GB, man kann lediglich eine Speicherkarte hinzufügen die 512 GB hat. Erweiterbar ist es nicht daher ist es bissle schwach vom Speicher her, bei grossen app's. Ansonsten schönes Handy;19
Amazon Kunde;2;Germany;5 August 2022;Ungeeignet für Freidprecheinrichtung im Auto;Leider hat die GT3Pro den gleichen Fehler, wie die GT2 und GT2Pro. Ankommende Gespräche werden bei Benutzung einer Freisprecheinrichtung zum Handy zurück geleitet. Ich habe mehrere Freisprecheinrichtungen ( VW, Seat, Kodiak, Audi ) getestet. Dieses kann an der Ap oder am Handy liegen. Ansonsten wäre es eine tolle Uhr. Der Akku hält sehr lange und alle für mich relevanten Funktionen funktionieren einwandfrei. Aber aufgrund des oben beschriebenen Mangels leider nicht für Vielfahrer geeignet, die öfter Gespräche im Auto führen bzw entgegen nehmen. Daher ging die Uhr leider wieder zurück.;7
H. olzapfel;5;Germany;9 March 2023;Die beste Uhr derzeit am Markt.;"Nach den ganzen Galaxy- Watches bin ich nun auf diese Uhr gekommen. In Platinausführung zwar etwas teurer, aber jeden Cent wert! Ich bin ein ""Dauerträger"" was bedeutet, eine Uhr wird 24/7 getragen. Also muss sie Wasserdicht, relativ stoss- und kratzfest sein und wenn überhaupt, dann nur seltenst zum Laden abgemacht werden. Und here we go!! Ca alle 2 Wochen(!) für wenige Stunden aufladen und weiter geht es durch dick und dünn. Elegant, gut ablesbar und zuverlässig ohne Einschränkung! Ich liebe diese Uhr und gebe 100 prozentige Kaufempfehlung!";4
Dr. Christian Winter;4;Germany;6 September 2022;Geniale Uhr;"Die Uhr trage ich sehr gerne. Sie macht einen sehr robusten Eindruck und trägt trotz ihrer Dicke nicht besonders auf. Insbesondere klasse: Die Zeiger sind mit dem Wachtface ""classic luminous"" sowohl mit dem always-on-display also auch in der normalen Anzeige unglaublich klar und gut zu sehen. Besser als bei jeder anderen Uhr. Negativ: Die Bezahlfunktion läuft nicht und die angekündigte Blutdruckmessung (in der App angezeigt) ist nicht freigeschaltet bzw. entwickelt. Alle anderen Features und das sind viele laufen zügig. Bin nach drei Wochen Tragens noch immer sehr zufrieden und habe keine wesentlichen Defizite entdeckt.";3
Dr. Acar;3;Germany;4 January 2023;"Tut ""fast"" was es soll";"Ich nutze es mit meinem IPhone 13 Pro Max. Leider sind die Funktionen bei IPhone sehr begrenzt. Beispielsweise WhatsApp Nachrichten, sieht man zwar das ein Nachricht vom Person x angekommen ist, aber den Inhalt kannst über die Uhr nicht lesen. Bei Samsung Telefone ist auch der Inhalt der Nachricht zu erkennen.
Positiv überrascht bin ich über die lange Akkulaufzeit. Hält bei mir im durchschnitt ca. 1 Woche ohne aufzuladen.";1
Deniz;5;Germany;30 December 2022;Wahnsinns Teil;Nach langem hadern, recherchieren und überlegen entschied ich mich für diese Uhr und bereue keinen Moment! Akkulaufzeit trotz always on display und einen hohen Benutzungsfrequenz min. 5 Tage. Komfortabel beim Tragen, Bedienung kinderleicht, Apps top, Größenanpassung so das jedes Kind das Armband richtig einstellen kann und der wichtigste Punkt - die Uhr sieht einfach super sexy aus.;2
