state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Arkansas,AR,Johnson,5071,Republican,"Ted Cruz",1004,0.298
Virginia,VA,Fluvanna,51065,Republican,"Ben Carson",232,0.064
Wisconsin,WI,Oconto,55083,Democrat,"Bernie Sanders",2577,0.513
Illinois,IL,Crawford,17033,Democrat,"Hillary Clinton",609,0.501
"North Carolina",NC,Gaston,37071,Republican,"John Kasich",2125,0.084
Iowa,IA,Fayette,19065,Republican,"Donald Trump",240,0.24
Texas,TX,Coke,48081,Republican,"Donald Trump",251,0.294
Vermont,VT,Bennington,50003,Republican,"Marco Rubio",196,0.198
Michigan,MI,Montcalm,26117,Republican,"Donald Trump",3051,0.351
Ohio,OH,Fulton,39051,Democrat,"Hillary Clinton",1480,0.487
Illinois,IL,Schuyler,17169,Democrat,"Hillary Clinton",368,0.544
Iowa,IA,Jefferson,19101,Democrat,"Bernie Sanders",654,0.727
Montana,MT,Fallon,30025,Democrat,"Hillary Clinton",34,0.586
Nebraska,NE,Jefferson,31095,Democrat,"Bernie Sanders",58,0.586
"West Virginia",WV,Upshur,54097,Republican,"Ted Cruz",399,0.093
Iowa,IA,Floyd,19067,Republican,"Carly Fiorina",8,0.011
Virginia,VA,Smyth,51173,Republican,"Donald Trump",1744,0.52
"New York",NY,Madison,36053,Republican,"Donald Trump",2968,0.47
Michigan,MI,Otsego,26137,Republican,"Ted Cruz",1040,0.242
Ohio,OH,Crawford,39033,Democrat,"Bernie Sanders",1141,0.436
"New Jersey",NJ,Salem,34033,Democrat,"Hillary Clinton",2814,0.565
"West Virginia",WV,Pocahontas,54075,Democrat,"Hillary Clinton",524,0.348
Texas,TX,Brazoria,48039,Republican,"Ted Cruz",19993,0.51
Texas,TX,Refugio,48391,Democrat,"Hillary Clinton",549,0.642
Florida,FL,Lafayette,12067,Republican,"Donald Trump",556,0.52
Iowa,IA,"Des Moines",19057,Republican,"Rand Paul",99,0.046
Kentucky,KY,Pulaski,21199,Democrat,"Bernie Sanders",1148,0.466
Texas,TX,Navarro,48349,Democrat,"Bernie Sanders",333,0.253
"New York",NY,Genesee,36037,Democrat,"Bernie Sanders",1539,0.549
"South Dakota",SD,Miner,46097,Democrat,"Bernie Sanders",84,0.435
Michigan,MI,Barry,26015,Republican,"John Kasich",2191,0.207
Tennessee,TN,"Van Buren",47175,Republican,"Ben Carson",69,0.077
"West Virginia",WV,Cabell,54011,Democrat,"Hillary Clinton",4407,0.379
"New York",NY,Ontario,36069,Republican,"John Kasich",2430,0.302
Kentucky,KY,Warren,21227,Democrat,"Hillary Clinton",4829,0.449
Texas,TX,Runnels,48399,Republican,"Ben Carson",144,0.06
Kentucky,KY,Kenton,21117,Democrat,"Bernie Sanders",4880,0.465
Oklahoma,OK,Stephens,40137,Republican,"Ted Cruz",2428,0.446
Virginia,VA,Essex,51057,Republican,"Ted Cruz",142,0.122
Iowa,IA,Wright,19197,Republican,"Mike Huckabee",15,0.027
Arkansas,AR,Columbia,5027,Republican,"Ben Carson",208,0.066
Illinois,IL,Macoupin,17117,Republican,"Donald Trump",3527,0.478
Massachusetts,MA,Norfolk,25021,Democrat,"Bernie Sanders",956,0.553
Montana,MT,"Judith Basin",30045,Democrat,"Bernie Sanders",69,0.448
"South Dakota",SD,Lincoln,46083,Republican,"Donald Trump",1760,0.613
"North Carolina",NC,Stanly,37167,Republican,"John Kasich",747,0.071
Mississippi,MS,Grenada,28043,Republican,"Ted Cruz",960,0.309
"New York",NY,Seneca,36099,Republican,"Donald Trump",1516,0.536
Georgia,GA,Wilkes,13317,Democrat,"Hillary Clinton",702,0.821
Oklahoma,OK,Jackson,40065,Republican,"Ben Carson",179,0.076
Mississippi,MS,Leake,28079,Republican,"John Kasich",159,0.058
Iowa,IA,Iowa,19095,Democrat," Uncommitted",0,0
Illinois,IL,Kankakee,17091,Republican,"Marco Rubio",1175,0.078
"West Virginia",WV,Harrison,54033,Republican,"Ted Cruz",628,0.086
"North Carolina",NC,Washington,37187,Republican,"John Kasich",38,0.054
Missouri,MO,Audrain,29007,Democrat,"Hillary Clinton",749,0.496
Arkansas,AR,Johnson,5071,Republican,"Marco Rubio",617,0.183
Iowa,IA,"Palo Alto",19147,Republican,"Donald Trump",117,0.271
