Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Salary in USD,Employee Residence,Company Size,Year
Data Scientist,Full-Time,Senior,Expert,265000,United States Dollar,United States,265000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,172000,United States Dollar,United States,172000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Mid,Intermediate,155810,United States Dollar,United States,155810,United States,Medium,2023
Machine Learning Engineer,Full-Time,Mid,Intermediate,106720,United States Dollar,United States,106720,United States,Medium,2023
Data Scientist,Full-Time,Entry,Junior,160800,United States Dollar,United Kingdom,160800,United Kingdom,Medium,2023
Data Scientist,Full-Time,Entry,Junior,132200,United States Dollar,United Kingdom,132200,United Kingdom,Medium,2023
Data Analyst,Full-Time,Senior,Expert,133000,United States Dollar,United States,133000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,113000,United States Dollar,United States,113000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,105000,United States Dollar,United States,105000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,75000,United States Dollar,United States,75000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,208400,United States Dollar,United States,208400,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,139000,United States Dollar,United States,139000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,157550,United States Dollar,United States,157550,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,104650,United States Dollar,United States,104650,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,240500,United States Dollar,United States,240500,United States,Large,2023
Data Engineer,Full-Time,Senior,Expert,123700,United States Dollar,United States,123700,United States,Large,2023
Data Engineer,Full-Time,Senior,Expert,205600,United States Dollar,United States,205600,United States,Large,2023
Data Engineer,Full-Time,Senior,Expert,105700,United States Dollar,United States,105700,United States,Large,2023
Business Data Analyst,Full-Time,Senior,Expert,78000,United States Dollar,United States,78000,United States,Large,2023
Data Engineer,Full-Time,Mid,Intermediate,121000,United States Dollar,United States,121000,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,78000,United States Dollar,United States,78000,United States,Medium,2023
Data Scientist,Full-Time,Entry,Junior,85600,United States Dollar,United States,85600,United States,Medium,2023
Data Scientist,Full-Time,Entry,Junior,48915,United States Dollar,United States,48915,United States,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,78000,United States Dollar,United States,78000,United States,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,68000,United States Dollar,United States,68000,United States,Medium,2023
Research Analyst,Full-Time,Senior,Expert,49500,Euro,Spain,53444,Spain,Medium,2023
Research Analyst,Full-Time,Senior,Expert,41818,Euro,Spain,45150,Spain,Medium,2023
Data Scientist,Full-Time,Senior,Expert,275500,United States Dollar,United States,275500,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,206000,United States Dollar,United States,206000,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,202800,United States Dollar,United States,202800,United States,Large,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,104300,United States Dollar,United States,104300,United States,Large,2023
Research Analyst,Full-Time,Senior,Expert,52200,Euro,Italy,56359,Italy,Medium,2023
Research Analyst,Full-Time,Senior,Expert,44272,Euro,Italy,47799,Italy,Medium,2023
Data Engineer,Full-Time,Senior,Expert,154000,United States Dollar,United States,154000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,102000,United States Dollar,United States,102000,United States,Medium,2023
Data Modeler,Full-Time,Senior,Expert,140000,United States Dollar,United States,140000,United States,Medium,2023
Data Modeler,Full-Time,Senior,Expert,100000,United States Dollar,United States,100000,United States,Medium,2023
Data Strategist,Full-Time,Senior,Expert,91000,United States Dollar,United States,91000,United States,Medium,2023
Data Strategist,Full-Time,Senior,Expert,86000,United States Dollar,United States,86000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,228000,United States Dollar,United States,228000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,136000,United States Dollar,United States,136000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,180000,United States Dollar,United States,180000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,140000,United States Dollar,United States,140000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,175000,United States Dollar,United States,175000,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,155000,United States Dollar,United States,155000,United States,Medium,2023
Research Engineer,Full-Time,Entry,Junior,15662,Euro,Russian Federation,16455,Russian Federation,Medium,2022
Data Analyst,Full-Time,Senior,Expert,207611,United States Dollar,United States,207611,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,127876,United States Dollar,United States,127876,United States,Medium,2023
Data Analyst,Full-Time,Entry,Junior,111000,United States Dollar,United States,111000,United States,Medium,2023
Data Analyst,Full-Time,Entry,Junior,104000,United States Dollar,United States,104000,United States,Medium,2023
BI Developer,Full-Time,Mid,Intermediate,128000,United States Dollar,United States,128000,United States,Medium,2023
BI Developer,Full-Time,Mid,Intermediate,81500,United States Dollar,United States,81500,United States,Medium,2023
Data Analyst,Full-Time,Entry,Junior,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023
Data Analyst,Full-Time,Entry,Junior,35000,British Pound Sterling,United Kingdom,43064,United Kingdom,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,97750,United States Dollar,United States,97750,United States,Medium,2023
Data Analyst,Full-Time,Mid,Intermediate,75000,United States Dollar,United States,75000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,238000,United States Dollar,United States,238000,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,176000,United States Dollar,United States,176000,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,192000,United States Dollar,Canada,192000,Canada,Medium,2023
Data Analyst,Full-Time,Senior,Expert,92000,United States Dollar,Canada,92000,Canada,Medium,2023
Data Engineer,Full-Time,Senior,Expert,195000,United States Dollar,United States,195000,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,125000,United States Dollar,United States,125000,United States,Medium,2023
Decision Scientist,Full-Time,Senior,Expert,204500,United States Dollar,United States,204500,United States,Medium,2023
Decision Scientist,Full-Time,Senior,Expert,142200,United States Dollar,United States,142200,United States,Medium,2023
